,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
0,Forward,15935,98,18.7,3.5,0.37373737373737376,0.10009413241292751,0.2918732350172576,0.3339190461248823,0.2739880765610292,0.01134453781512605,0.030252100840336135,0.1676470588235294,0.32016806722689073,0.24915966386554622,0.1634453781512605,0.05,0.007983193277310924,99,2380.0
2,Forward,11568,71,18.3,2.6,0.24390243902439024,0.12655601659751037,0.30108921161825725,0.3286652835408022,0.24334370677731673,0.013636363636363636,0.05505050505050505,0.15252525252525254,0.30353535353535355,0.25252525252525254,0.16818181818181818,0.04898989898989899,0.005555555555555556,82,1980.0
3,Defender,11981,74,16.4,2.7,0.2911392405063291,0.1254486269927385,0.3129955763291879,0.3136633002253568,0.24780903096569568,0.011590171534538712,0.04357904496986555,0.16318961520630507,0.27352804821511356,0.2999536393138618,0.16689847009735745,0.03569772832637923,0.005563282336578581,79,2157.0
4,Defender,3133,19,16.3,0.7,1.2857142857142858,0.21800191509735078,0.24992020427705075,0.33003511011809766,0.2004468560485158,0.007709251101321586,0.02753303964757709,0.1420704845814978,0.3579295154185022,0.3039647577092511,0.1299559471365639,0.023127753303964757,0.007709251101321586,7,908.0
5,Midfielder,13265,81,17.9,2.9,0.20652173913043478,0.1131549189596683,0.3791933660007539,0.3447418017338862,0.16268375424048248,0.012641083521444696,0.037923250564334085,0.14988713318284425,0.3029345372460497,0.28397291196388263,0.1711060948081264,0.035214446952595936,0.006320541760722348,92,2215.0
6,Defender,14813,91,18.8,3.2,0.11214953271028037,0.158576925673395,0.33733882400594073,0.3619118341996895,0.14203739958144873,0.0039016777214202106,0.026921576277799453,0.16777214202106905,0.30472103004291845,0.3055013655872025,0.16504096761607492,0.023800234100663287,0.0023410066328521262,107,2563.0
7,Defender,13634,84,17.9,3.0,0.2087912087912088,0.130996039313481,0.28531612146105323,0.398122341205809,0.1853454598797125,0.0028308563340410475,0.02724699221514508,0.1624203821656051,0.3237791932059448,0.28803963198867655,0.16100495399858458,0.030077848549186128,0.0046001415428167025,91,2826.0
9,Midfielder,8655,53,17.4,1.9,0.36363636363636365,0.1285961871750433,0.267475447718082,0.3734257654534951,0.23015597920277298,0.009404388714733543,0.038662486938349006,0.16248693834900732,0.31400208986415884,0.2831765935214211,0.15047021943573669,0.038662486938349006,0.003134796238244514,44,1914.0
10,Forward,3146,19,15.9,0.7,0.6666666666666666,0.2031150667514304,0.2835346471710108,0.3305785123966942,0.18086458995549903,0.004761904761904762,0.025,0.1380952380952381,0.3761904761904762,0.30238095238095236,0.13214285714285715,0.01904761904761905,0.002380952380952381,6,840.0
11,Midfielder,6200,38,16.4,1.4,0.32142857142857145,0.1382258064516129,0.25725806451612904,0.39225806451612905,0.2114516129032258,0.00975609756097561,0.04715447154471545,0.15365853658536585,0.3130081300813008,0.2658536585365854,0.16504065040650406,0.03902439024390244,0.0065040650406504065,28,1230.0
12,Defender,4409,27,15.8,1.0,0.6,0.17804490814243593,0.3095940122476752,0.3216148786572919,0.19006577455205262,0.011839708561020037,0.020036429872495445,0.15664845173041894,0.3460837887067395,0.2923497267759563,0.13114754098360656,0.031876138433515486,0.010018214936247723,20,1098.0
13,Midfielder,14959,92,18.5,3.3,0.21,0.10709272010161107,0.3072397887559329,0.36132094391336317,0.22421284845243666,0.008507347254447023,0.04331013147718484,0.16705336426914152,0.29040989945862333,0.27842227378190254,0.17092034029389017,0.03789636504253674,0.0034802784222737818,100,2586.0
15,Midfielder,13791,85,20.3,3.0,0.29473684210526313,0.12856210572112248,0.30483648756435355,0.33579870930316874,0.23058516423754621,0.009676343009676344,0.04371037704371038,0.1748415081748415,0.28862195528862195,0.2809476142809476,0.15015015015015015,0.04537871204537871,0.00667334000667334,95,2997.0
17,Defender,7570,47,17.0,1.7,0.24444444444444444,0.15640686922060767,0.2877146631439894,0.3484808454425363,0.207001321003963,0.004908835904628331,0.03716690042075736,0.15918653576437589,0.3246844319775596,0.2791023842917251,0.16129032258064516,0.02664796633941094,0.0070126227208976155,45,1426.0
18,Defender,14652,90,18.0,3.2,0.17757009345794392,0.15854490854490855,0.31483756483756486,0.36698061698061696,0.15956865956865957,0.009364026531408505,0.03238392508778775,0.16269996098322279,0.3058915333593445,0.25634022629730785,0.1943035505267265,0.035115099492781895,0.0039016777214202106,107,2563.0
19,Forward,10953,67,19.6,2.4,0.2916666666666667,0.13831826896740618,0.31671688121975716,0.3319638455217749,0.2126358075413129,0.00673924313115604,0.03784344219803007,0.16744427164333853,0.3011923276308968,0.272680145152929,0.16277864178330742,0.04406428201140487,0.007257646448937273,72,1929.0
